SAP2000 v14.0.0    3/26/21 14:49:30

Table:  Element Forces - Frames

       Frame     Station  OutputCase    CaseType           P          V2          V3           T          M2          M3   FrameElem ElemStation
                      mm                                   N           N           N        N-mm        N-mm        N-mm                      mm

          21     2750.00        DEAD   LinStatic        0.00    -3634.80        0.00   1.718E-05        0.00 21090546.26        21-1     2750.00
          21     3250.00        DEAD   LinStatic        0.00     3634.80        0.00   1.718E-05        0.00 21090546.29        21-1     3250.00
          21     3750.00        DEAD   LinStatic        0.00    10904.40        0.00   1.718E-05        0.00 17455746.34        21-1     3750.00
          21     4250.00        DEAD   LinStatic        0.00    18174.00        0.00   1.718E-05        0.00 10186146.43        21-1     4250.00
          21     4750.00        DEAD   LinStatic        0.00    25443.60        0.00   1.718E-05        0.00  -718253.45        21-1     4750.00
          21     5250.00        DEAD   LinStatic        0.00    32317.75        0.00   1.718E-05        0.00 -15224499.1        21-1     5250.00
          21     5750.00        DEAD   LinStatic        0.00    36423.75        0.00   1.718E-05        0.00  -32541690.        21-1     5750.00
          21      250.00        LIVE   LinStatic        0.00    -9875.00        0.00   5.429E-06        0.00 -8923052.62        21-1      250.00
          21      750.00        LIVE   LinStatic        0.00    -8875.00        0.00   5.429E-06        0.00 -4193886.09        21-1      750.00
          21     1250.00        LIVE   LinStatic        0.00    -7000.00        0.00   5.429E-06        0.00  -204302.78        21-1     1250.00
          21     1750.00        LIVE   LinStatic        0.00    -5000.00        0.00   5.429E-06        0.00  2795697.23        21-1     1750.00
          21     2250.00        LIVE   LinStatic        0.00    -3000.00        0.00   5.429E-06        0.00  4795697.24        21-1     2250.00
          21     2750.00        LIVE   LinStatic        0.00    -1000.00        0.00   5.429E-06        0.00  5795697.25        21-1     2750.00
          21     3250.00        LIVE   LinStatic        0.00     1000.00        0.00   5.429E-06        0.00  5795697.25        21-1     3250.00
          21     3750.00        LIVE   LinStatic        0.00     3000.00        0.00   5.429E-06        0.00  4795697.26        21-1     3750.00
          21     4250.00        LIVE   LinStatic        0.00     5000.00        0.00   5.429E-06        0.00  2795697.27        21-1     4250.00
          21     4750.00        LIVE   LinStatic        0.00     7000.00        0.00   5.429E-06        0.00  -204302.72        21-1     4750.00
          21     5250.00        LIVE   LinStatic        0.00     8875.00        0.00   5.429E-06        0.00 -4193886.04        21-1     5250.00
          21     5750.00        LIVE   LinStatic        0.00     9875.00        0.00   5.429E-06        0.00 -8923052.61        21-1     5750.00
          21      250.00       WINDX   LinStatic        0.00   1.597E-09  -1.819E-12   8.752E-07   4.547E-10   4.392E-06        21-1      250.00
          21      750.00       WINDX   LinStatic        0.00   1.597E-09  -1.819E-12   8.752E-07   1.364E-09   3.594E-06        21-1      750.00
          21     1250.00       WINDX   LinStatic        0.00   1.597E-09  -1.819E-12   8.752E-07   2.274E-09   2.795E-06        21-1     1250.00
          21     1750.00       WINDX   LinStatic        0.00   1.597E-09  -1.819E-12   8.752E-07   3.183E-09   1.996E-06        21-1     1750.00
          21     2250.00       WINDX   LinStatic        0.00   1.597E-09  -1.819E-12   8.752E-07   4.093E-09   1.198E-06        21-1     2250.00
